probe_id,205121980077_R01C01.AVG_Beta,205121980077_R02C01.AVG_Beta,205121980077_R03C01.AVG_Beta,205121980077_R04C01.AVG_Beta,205121980077_R05C01.AVG_Beta,205121980077_R06C01.AVG_Beta,205121980077_R07C01.AVG_Beta,205121980077_R08C01.AVG_Beta,IlmnID,CHR,MAPINFO,UCSC_RefGene_Name,Relation_to_UCSC_CpG_Island,chrom_hg19,pos_hg19,chrom_hg38,pos_hg38,liftover_mapped,beta_mean,beta_std
cg00297451,0.04302926,0.03018373,0.05097128,0.03639994,0.0517633,0.04266811,0.04954407,0.03266667,cg00297451,15,32908400,ARHGAP11A;ARHGAP11A;ARHGAP11A;ARHGAP11A,S_Shore,chr15,32908400,chr15,32616199,True,0.042153295,0.008384787191798183
cg00305639,0.3849173,0.3926036,0.3889151,0.3824705,0.4219038,0.3305452,0.3329901,0.3891968,cg00305639,15,29077306,,Island,chr15,29077306,chr15,28832160,True,0.3779428,0.031009155103245603
cg00308697,0.5480359,0.5348404,0.484889,0.5323702,0.4436812,0.3724715,0.4963462,0.5832552,cg00308697,15,25331750,SNORD116-20;SNORD116-17;SNORD116-19,,chr15,25331750,chr15,25086603,True,0.49948620000000005,0.06673558221353883
cg00329728,0.6919836,0.7622114,0.6826471,0.4779006,0.6065235,0.904026,0.8185939,0.864328,cg00329728,15,27113913,GABRA5;GABRA5,S_Shore,chr15,27113913,chr15,26868766,True,0.7260267625,0.1412077082463473
cg00330492,0.04134557,0.03890653,0.04997526,0.05754811,0.05006766,0.03830645,0.03106434,0.03465026,cg00330492,15,28352558,,Island,chr15,28352558,chr15,28107412,True,0.0427330225,0.008971260010267311
cg00334691,0.5468338,0.4597834,0.2853567,0.3766274,0.4652466,0.6005435,0.4945103,0.5095125,cg00334691,15,25468075,SNORD115-11;SNORD115-15;SNORD115-21;SNORD115-43;SNORD115-36;SNORD115-29,,chr15,25468075,chr15,25222928,True,0.46730177500000003,0.09855190925496718
cg00336555,0.7130877,0.7020323,0.5526433,0.697404,0.6834378,0.7356941,0.7122381,0.6583796,cg00336555,15,27438732,GABRG3,,chr15,27438732,chr15,27193585,True,0.6818646125,0.05694034494688124
cg00361898,0.4182194,0.4244498,0.1853652,0.4316113,0.4276493,0.5112414,0.5351607,0.3916278,cg00361898,15,25488753,SNORD115-40,,chr15,25488753,chr15,25243606,True,0.4156656125,0.10522863611944419
cg00392396,0.797017,0.652817,0.5503096,0.8275092,0.7817233,0.8983166,0.8086161,0.6727654,cg00392396,15,29409632,APBA2;APBA2,S_Shore,chr15,29409632,chr15,29117429,True,0.748634275,0.11334483181324843
cg00439630,0.07870582,0.04465812,0.06025492,0.04815116,0.1301094,0.06033941,0.3871577,0.05710851,cg00439630,15,25915520,,,chr15,25915520,chr15,25670373,True,0.10831063,0.11588810475170915
cg00457932,0.8472422,0.852657,0.7598187,0.6823339,0.8608302,0.8645079,0.8222402,0.7775757,cg00457932,15,28145216,OCA2,N_Shelf,chr15,28145216,chr15,27900070,True,0.808400725,0.06409692854856061
cg00465883,0.665113,0.5734888,0.4807781,0.5882586,0.3514363,0.1212121,0.3457286,0.7295636,cg00465883,15,25349082,SNORD116-28,,chr15,25349082,chr15,25103935,True,0.4819473875,0.20009474588319717
cg00473179,0.4041837,0.4000516,0.3005284,0.2596409,0.1543931,0.5582033,0.3473162,0.1598691,cg00473179,15,29033881,,Island,chr15,29033881,chr15,28788735,True,0.3230232875,0.1352241173570268
cg00475883,0.8057432,0.8105665,0.5901701,0.761988,0.7822599,0.8093023,0.8318503,0.7845799,cg00475883,15,25299172,SNORD116-2,,chr15,25299172,chr15,25054025,True,0.772057525,0.07655562319637271
cg00476675,0.8371311,0.7249492,0.5850992,0.6947571,0.6603944,0.7987906,0.8038111,0.8098117,cg00476675,15,25331391,SNORD116-20;SNORD116-17;SNORD116-19,,chr15,25331391,chr15,25086244,True,0.73934305,0.08818618168584333
cg00501006,0.4897923,0.4685724,0.2975988,0.3970097,0.5239853,0.5416667,0.5945812,0.4258589,cg00501006,15,25480975,SNORD115-29;SNORD115-11;SNORD115-43;SNORD115-36,,chr15,25480975,chr15,25235828,True,0.4673831625,0.09328006121061973
cg00516271,0.7168701,0.6854899,0.6859324,0.5936527,0.5998979,0.7640392,0.6674271,0.7002127,cg00516271,15,31615092,,N_Shelf,chr15,31615092,chr15,31322889,True,0.67669025,0.05711957622806988
cg00602502,0.8694338,0.8878127,0.8367415,0.8801879,0.8651759,0.7614871,0.8652325,0.8245844,cg00602502,15,26089080,ATP10A,,chr15,26089080,chr15,25843933,True,0.848831975,0.04110349119689923
cg00607797,0.7594289,0.5707809,0.4803096,0.5582693,0.7381974,0.6149714,0.80625,0.659597,cg00607797,15,25418880,SNORD115-3,,chr15,25418880,chr15,25173733,True,0.6484755625,0.1127279030934088
cg00625161,0.5588906,0.4548854,0.2261932,0.3480995,0.4473719,0.4550537,0.5361552,0.432566,cg00625161,15,25429408,SNORD115-5;SNORD115-12;SNORD115-10;SNORD115-8;SNORD115-9,,chr15,25429408,chr15,25184261,True,0.4324019375,0.10531300335823326
cg00626386,0.7645336,0.6158569,0.7148176,0.6584713,0.8279045,0.5114866,0.6540667,0.5246951,cg00626386,15,31742799,,N_Shelf,chr15,31742799,chr15,31450596,True,0.6589790375,0.10984770314089984
cg00641177,0.04318725,0.06191904,0.05764706,0.06114551,0.05317722,0.05113709,0.06342311,0.04808768,cg00641177,15,32907784,ARHGAP11A;ARHGAP11A;ARHGAP11A;ARHGAP11A,Island,chr15,32907784,chr15,32615583,True,0.054965495,0.007261959815943037
cg00646019,0.007225433,,0.01297263,0.01951612,0.01690117,0.02437441,0.03131833,0.01223404,cg00646019,15,29034163,,Island,chr15,29034163,chr15,28789017,True,0.017791733285714286,0.008122248013597523
cg00646185,0.931737,0.9090586,0.7952791,0.8499739,0.938035,0.960495,0.948367,0.9413373,cg00646185,15,26234833,,Island,chr15,26234833,chr15,25989686,True,0.9092853625,0.05734989679554638
cg00661719,0.7741408,0.7109009,0.6695322,0.6788896,0.785623,0.7995066,0.8080368,0.6630352,cg00661719,15,28249165,OCA2,Island,chr15,28249165,chr15,28004019,True,0.7362081375,0.06184381025331792
cg00683980,0.7612066,0.7062156,0.6459527,0.7628149,0.7487186,0.7472671,0.8254336,0.7639257,cg00683980,15,31383719,TRPM1,,chr15,31383719,chr15,31091516,True,0.74519185,0.05174255125503571
cg00721086,0.07400047,0.07264651,0.1012766,0.071173,0.07515056,0.07756446,0.09586693,0.09267449,cg00721086,15,32322288,CHRNA7,Island,chr15,32322288,chr15,32030085,True,0.0825441275,0.012016347328661128
cg00745725,0.06742557,0.06251077,0.09073334,0.08061283,0.08261618,0.07311699,0.06875668,0.09382793,cg00745725,15,27216288,GABRG3,Island,chr15,27216288,chr15,26971141,True,0.07745003624999999,0.011335123668942779
cg00774088,0.6874719,0.524877,0.5922909,0.739275,0.6171841,0.7994633,0.547554,0.1822372,cg00774088,15,26109245,ATP10A,S_Shore,chr15,26109245,chr15,25864098,True,0.5862941749999999,0.18845469272651452
cg00781691,0.8829947,0.6759932,0.7527864,0.7879586,0.7973011,0.5687615,0.839696,0.8888384,cg00781691,15,29559712,FAM189A1,N_Shore,chr15,29559712,chr15,29267508,True,0.7742912375,0.10842967696887282
cg00792740,0.06707797,0.08831201,0.07119668,0.07526882,0.08334634,0.07932395,0.05063183,0.06669383,cg00792740,15,25684488,UBE3A,S_Shore,chr15,25684488,chr15,25439341,True,0.07273142875,0.011738170074353202
cg00796569,0.606215,0.7408044,0.6733102,0.3853246,0.5205852,0.7921066,0.7439588,0.8652204,cg00796569,15,27111440,GABRA5;GABRA5,N_Shore,chr15,27111440,chr15,26866293,True,0.66594065,0.15621263731135382
cg00834472,0.5472253,0.4109195,0.2732657,0.4041365,0.5077972,0.5466643,0.5614769,0.0418243,cg00834472,15,25453053,SNORD115-15;SNORD115-21,,chr15,25453053,chr15,25207906,True,0.4116637125,0.17899726848723888
cg00837434,0.04345068,0.03401154,0.04386215,0.04047861,0.02636969,0.04484305,0.03780378,0.03618513,cg00837434,15,31283468,MTMR10,Island,chr15,31283468,chr15,30991265,True,0.03837557875,0.006215433096194475
cg00855398,0.8965917,0.8719708,0.9126796,0.9008712,0.9204574,0.8862734,0.9086594,0.9235978,cg00855398,15,28362491,HERC2,Island,chr15,28362491,chr15,28117345,True,0.9026376625,0.017492414008603636
cg00928393,0.9713013,0.9752073,0.9693582,0.9659047,0.9742692,0.972101,0.9769648,0.9710751,cg00928393,15,28358388,HERC2,Island,chr15,28358388,chr15,28113242,True,0.9720227,0.003496258626425853
cg00943360,0.12279,0.1013825,0.1076127,0.1555746,0.1408721,0.1271906,0.1356902,0.1056353,cg00943360,15,32607923,,S_Shore,chr15,32607923,chr15,32315722,True,0.12459350000000001,0.01906555271987376
cg00955451,0.6931818,0.5803021,0.3905737,0.5917906,0.559902,0.6217587,0.7295655,0.4837867,cg00955451,15,29213640,APBA2;APBA2,,chr15,29213640,chr15,28921437,True,0.5813576375,0.10862212585438351
cg00977301,0.5467483,0.5124042,0.3997729,0.4773786,0.5163211,0.5207394,0.5713996,0.4476642,cg00977301,15,25427487,SNORD115-7,,chr15,25427487,chr15,25182340,True,0.4990535375,0.05532080540184129
cg00983485,0.0566605,0.0591716,0.07805526,0.07257084,0.04800474,0.06305855,0.06836109,0.06605867,cg00983485,15,31284262,MTMR10,Island,chr15,31284262,chr15,30992059,True,0.06399265625,0.009473141024307977
cg01010923,0.2628947,0.24902,0.154178,0.2660256,0.2327035,0.162112,0.3197807,0.2735228,cg01010923,15,25486368,SNORD115-39,,chr15,25486368,chr15,25241221,True,0.2400296625,0.056387417361777166
cg01026270,0.05812474,0.04505994,0.04650024,0.06087679,0.04865513,0.06573625,0.1080483,0.432864,cg01026270,15,29863964,FAM189A1,S_Shore,chr15,29863964,chr15,29571760,True,0.10823317375000001,0.13271668758348193
cg01034287,0.7254568,0.6491577,0.7714814,0.7405202,0.7389582,0.7933059,0.7037804,0.7949634,cg01034287,15,29431573,FAM189A1,,chr15,29431573,chr15,29139370,True,0.739703,0.0487411687287334
cg01041256,0.7445198,0.7214445,0.5205944,0.3818654,0.6958656,0.6727426,0.7275091,0.5783494,cg01041256,15,27125580,GABRA5;GABRA5,N_Shelf,chr15,27125580,chr15,26880433,True,0.63036135,0.12725520915047614
cg01053316,0.5624952,0.5190993,0.4416149,0.5069882,0.4260057,0.1195333,0.461654,0.5762529,cg01053316,15,25321871,SNORD116-12,,chr15,25321871,chr15,25076724,True,0.45170543750000003,0.14470865148588274
cg01125329,0.04552012,0.05679428,0.05594765,0.06308055,0.05442091,0.04644053,0.06889676,0.05955566,cg01125329,15,30918328,ARHGAP11B,Island,chr15,30918328,chr15,30626125,True,0.056332057500000005,0.007860931654468281
cg01151365,0.65497,0.6050794,0.4501056,0.481897,0.5692182,0.5739458,0.6785319,0.5651622,cg01151365,15,31090636,,,chr15,31090636,chr15,30798433,True,0.5723637625,0.07779214994806789
cg01191259,0.7508145,0.6790478,0.7470614,0.4193976,0.5325688,0.6117085,0.8357283,0.4828557,cg01191259,15,29210460,,,chr15,29210460,chr15,28918257,True,0.632397825,0.14580592383715074
cg01201914,0.6851455,0.7273172,0.6445672,0.5688487,0.7568928,0.7332716,0.1911299,0.7544633,cg01201914,15,28644585,,N_Shelf,chr15,28644585,chr15,28399439,True,0.6327045250000001,0.18946153643912417
cg01206944,0.03823707,0.02516654,0.02285545,0.03128588,0.03261957,0.02356378,0.02629273,0.02142393,cg01206944,15,26076321,ATP10A,,chr15,26076321,chr15,25831174,True,0.02768061875,0.005811975409712107
cg01233948,0.9703754,0.9740371,0.9488715,0.9499068,0.9640538,0.9382269,0.9582239,0.9404793,cg01233948,15,31318495,TRPM1,Island,chr15,31318495,chr15,31026292,True,0.9555218375,0.013334633868232802
cg01240229,0.5350761,0.5022601,0.4659036,0.5215205,0.8693581,0.8612978,0.8632957,0.09484251,cg01240229,15,25101627,SNRPN;SNRPN;SNRPN;SNRPN,,chr15,25101627,chr15,24856480,True,0.58919430125,0.2678789742494771
cg01251603,0.5797069,0.4867505,0.4234551,0.6138976,0.7080523,0.2531055,0.5702475,0.6728164,cg01251603,15,26874098,GABRB3;GABRB3,Island,chr15,26874098,chr15,26628951,True,0.538503975,0.14762062789653707
cg01258039,0.7862098,0.7892577,0.6363737,0.6986615,0.8088868,0.850713,0.842492,0.791212,cg01258039,15,25427936,,,chr15,25427936,chr15,25182789,True,0.7754758125000001,0.07277236589945463
cg01274878,0.6034192,0.6037975,0.4742725,0.6144509,0.6331792,0.6336435,0.714308,0.394677,cg01274878,15,31175522,,Island,chr15,31175522,chr15,30883319,True,0.583968475,0.10102536028799547
cg01279753,0.781026,0.8450037,0.5813084,0.8988096,0.8030569,0.7248338,0.8432828,0.8518144,cg01279753,15,30164845,,,chr15,30164845,chr15,29872642,True,0.79114195,0.099688381137881
cg01334824,0.7953681,0.8052003,0.8345212,0.7594215,0.8240272,0.8358135,0.7884923,0.8100032,cg01334824,15,27787650,,S_Shore,chr15,27787650,chr15,27542504,True,0.8066059125,0.02571860133207855
cg01339008,0.5717349,0.5068871,0.4697802,0.5138007,0.4003616,0.4185994,0.4815355,0.6086852,cg01339008,15,25325293,SNORD116-14;SNORD116-15,,chr15,25325293,chr15,25080146,True,0.49642307500000005,0.07061156057869906
cg01358262,0.6568248,0.4540682,0.4932722,0.621519,0.5175748,0.6801082,0.71875,0.5381424,cg01358262,15,30334898,,N_Shore,chr15,30334898,chr15,30042695,True,0.5850324499999999,0.09689904971975437
cg01364202,0.8460118,0.8605114,0.8666378,0.8841901,0.8813757,0.8701004,0.8840944,0.8598253,cg01364202,15,25926097,ATP10A,,chr15,25926097,chr15,25680950,True,0.8690933624999999,0.013644192514968971
cg01372572,0.5448627,0.7216489,0.6588191,0.6881742,0.6629376,0.8440992,0.784041,0.4692448,cg01372572,15,25941836,ATP10A,,chr15,25941836,chr15,25696689,True,0.6717284375,0.12096444327974987
cg01378667,0.07949126,0.1211127,0.08180901,0.0948469,0.08119901,0.1087574,0.1126676,0.07078764,cg01378667,15,27111911,GABRA5;GABRA5;GABRA5,N_Shore,chr15,27111911,chr15,26866764,True,0.09383394,0.01837567512209163
cg01393705,0.177268,0.1937881,0.1179136,0.244382,0.1541582,0.2332066,0.228654,0.1322345,cg01393705,15,25457603,SNORD115-15;SNORD115-21;HBII-52-24,,chr15,25457603,chr15,25212456,True,0.185200625,0.04800068768628662
cg01432432,0.6786488,0.6559328,0.2855835,0.7073123,0.60193,0.6428571,0.7497417,0.8085629,cg01432432,15,25199028,SNRPN;SNURF;SNRPN;SNRPN;SNRPN;SNURF;SNRPN,N_Shore,chr15,25199028,chr15,24953881,True,0.6413211375,0.15756622268665268
cg01434025,0.2042419,0.3186249,0.32973,0.1490571,0.3806957,0.2079744,0.3754667,0.4373589,cg01434025,15,29395685,APBA2;APBA2,Island,chr15,29395685,chr15,29103482,True,0.3003937,0.10192860936561712
cg01475346,0.5856311,0.5303224,0.4590884,0.5493007,0.3965839,0.2047745,0.4034281,0.5198541,cg01475346,15,25313061,,,chr15,25313061,chr15,25067914,True,0.4561229,0.12219899156388905
cg01479122,0.0700435,0.07688446,0.1074948,0.1049897,0.1070375,0.1002669,0.09886704,0.09060749,cg01479122,15,32163262,,,chr15,32163262,chr15,31871059,True,0.09452392375,0.014202567224810288
cg01555369,0.6167347,0.5675479,0.3765981,0.5167709,0.6276263,0.5807692,0.5802017,0.572728,cg01555369,15,25483711,SNORD115-38,,chr15,25483711,chr15,25238564,True,0.5548721000000001,0.07941323469122043
cg01591938,0.08653195,0.07461406,0.1053611,0.09543216,0.09046824,0.1186993,0.09018975,0.08037905,cg01591938,15,29396267,APBA2;APBA2,Island,chr15,29396267,chr15,29104064,True,0.09270945125,0.013999821532052713
cg01609420,0.114572,0.07463657,0.1284424,0.06292735,0.06600902,0.07102316,0.06449083,0.07166013,cg01609420,15,30260534,,Island,chr15,30260534,chr15,29968331,True,0.0817201825,0.02514210413382514
cg01614564,0.4848349,0.4837304,0.388768,0.4598934,0.6150071,0.6659825,0.6700617,0.0587433,cg01614564,15,25201429,SNRPN;SNRPN;SNRPN;SNRPN;SNURF;SNURF;SNRPN,S_Shore,chr15,25201429,chr15,24956282,True,0.4783776625,0.19825699553734313
cg01615424,0.01911444,0.07707047,0.09927898,0.08127057,0.06927083,0.06642067,0.07309704,0.06591732,cg01615424,15,32639059,,Island,chr15,32639059,chr15,32346858,True,0.06893004,0.022847509680390614
cg01620672,0.6802236,0.6639396,0.4224042,0.6047702,0.4416356,0.08934771,0.5177468,0.8366585,cg01620672,15,25322128,SNORD116-12,,chr15,25322128,chr15,25076981,True,0.53209077625,0.22482110318786916
cg01650818,0.6873883,0.7011168,0.7346311,0.3193782,0.6039116,0.2122288,0.802494,0.5860251,cg01650818,15,29247458,APBA2;APBA2,,chr15,29247458,chr15,28955255,True,0.5808967375,0.20818840878480338
cg01665633,0.04551661,0.03745199,0.08575924,0.04201557,0.04685158,0.03705246,0.06031663,0.04136253,cg01665633,15,29562142,NDNL2;FAM189A1,Island,chr15,29562142,chr15,29269938,True,0.04954082625,0.016374767468355467
cg01671587,0.3741786,0.3584958,0.3330563,0.3281127,0.39218,0.2960062,0.337544,0.3391978,cg01671587,15,29077559,,Island,chr15,29077559,chr15,28832413,True,0.34484642499999996,0.02970515540540539
cg01677142,0.907794,0.8493081,0.4784219,0.4756438,0.8057206,0.8749655,0.8753232,0.711993,cg01677142,15,28260052,OCA2,,chr15,28260052,chr15,28014906,True,0.7473962625,0.1771215871371006
cg01688590,0.06511042,0.0572616,0.06297413,0.04313514,0.03836367,0.05058637,0.04382612,0.04828078,cg01688590,15,32163153,,,chr15,32163153,chr15,31870950,True,0.05119227875,0.009724477713333853
cg01690182,0.08620407,0.08428671,0.09045331,0.09514431,0.08760108,0.1019878,0.09493181,0.08205788,cg01690182,15,27018874,GABRB3;GABRB3;GABRB3,Island,chr15,27018874,chr15,26773727,True,0.09033337125,0.006651458243718201
cg01693246,0.7399766,0.7275769,0.5840051,0.6766046,0.7100447,0.6137505,0.7563155,0.7031137,cg01693246,15,31512162,,S_Shelf,chr15,31512162,chr15,31219959,True,0.68892345,0.06106233204731982
cg01694628,0.6215278,0.5592697,0.4769594,0.5768493,0.6197006,0.6242424,0.6215738,0.6483284,cg01694628,15,25478725,SNORD115-35,,chr15,25478725,chr15,25233578,True,0.593556425,0.05508702347929009
cg01699028,0.4944212,0.4549354,0.4818334,0.4665957,0.202157,0.202284,0.3559117,0.5118986,cg01699028,15,25322897,SNORD116-13,,chr15,25322897,chr15,25077750,True,0.39625462499999997,0.1285364180241621
cg01718332,0.6926995,0.599821,0.4229048,0.6768107,0.7269319,0.7257991,0.7426102,0.5839695,cg01718332,15,25482198,SNORD115-37,,chr15,25482198,chr15,25237051,True,0.6464433375,0.10765800409921007
cg01718733,0.9733101,0.9685819,0.9734141,0.9757496,0.9814918,0.9860411,0.9798653,0.9840006,cg01718733,15,29409410,APBA2;APBA2,S_Shore,chr15,29409410,chr15,29117207,True,0.9778068125,0.006009878513256932
cg01738805,0.06951981,0.07702731,0.08111843,0.09663005,0.09114475,0.1145546,0.0911464,0.0717651,cg01738805,15,31195741,MTMR15;MTMR15;MTMR15;MTMR15,Island,chr15,31195741,chr15,30903538,True,0.08661330625,0.014913444582378812
cg01763090,0.1811745,0.1358885,0.1940952,0.1822211,0.1641988,0.3036236,0.1989518,0.2267195,cg01763090,15,31775406,OTUD7A,N_Shore,chr15,31775406,chr15,31483203,True,0.19835912499999997,0.050040993005042514
cg01775260,0.02404501,0.01778289,0.003022382,0.01509345,0.02267431,0.02943723,0.02089513,0.0161696,cg01775260,15,27018770,GABRB3;GABRB3,Island,chr15,27018770,chr15,26773623,True,0.01864000025,0.007842021421934194
cg01786704,0.3081194,0.3816682,0.04973741,0.5109405,0.6245325,0.4568393,0.8148148,0.8072479,cg01786704,15,25123688,SNRPN;SNRPN;SNRPN;SNRPN,Island,chr15,25123688,chr15,24878541,True,0.49423750125000004,0.25754107656860104
cg01788205,0.8150457,0.791602,0.8018104,0.782013,0.7681285,0.7822601,0.8075657,0.8182886,cg01788205,15,25959097,ATP10A,Island,chr15,25959097,chr15,25713950,True,0.79583925,0.01775799118248298
cg01831896,0.0505277,0.04820077,0.049454,0.05464428,0.04378594,0.06231843,0.05951243,0.04509679,cg01831896,15,32638319,,Island,chr15,32638319,chr15,32346118,True,0.0516925425,0.006626263759188561
cg01863596,0.4043692,0.3798505,0.2637639,0.2806923,0.3696597,0.6523882,0.4252042,0.2027406,cg01863596,15,29348365,APBA2;APBA2,,chr15,29348365,chr15,29056162,True,0.37233357499999997,0.13693747571818263
cg01869157,0.589137,0.6521533,0.6307498,0.604772,0.6688498,0.5359889,0.6162429,0.4995611,cg01869157,15,30515844,,Island,chr15,30515844,chr15,30223641,True,0.5996818500000001,0.057314924777084546
cg01869288,0.5175762,0.5623065,0.4524168,0.4979603,0.5676479,0.3635192,0.4269954,0.355827,cg01869288,15,31523257,,,chr15,31523257,chr15,31231054,True,0.46803116250000004,0.08246390047548836
cg01871408,0.540107,0.5880634,0.4681358,0.5057865,0.362963,0.2514856,0.4151595,0.6924446,cg01871408,15,25330536,SNORD116-18;SNORD116-17;SNORD116-19,,chr15,25330536,chr15,25085389,True,0.478018175,0.13696627350012378
cg01883744,0.6265193,0.6047395,0.5626464,0.5729024,0.5079846,0.5547177,0.5702788,0.6241763,cg01883744,15,25309091,SNORD116-2;SNORD116-6,,chr15,25309091,chr15,25063944,True,0.577995625,0.039581617450375334
cg01886303,0.6354958,0.7780172,0.811458,0.7747796,0.8145466,0.7057832,0.8312943,0.8245295,cg01886303,15,29406026,APBA2;APBA2,Island,chr15,29406026,chr15,29113823,True,0.771988025,0.06835234582971529
cg01888055,0.3677755,0.3424013,0.1612476,0.3154985,0.3340366,0.1376332,0.4784266,0.2949761,cg01888055,15,25448352,SNORD115-19;SNORD115-17;SNORD115-18;SNORD115-19;SNORD115-17;SNORD115-18,,chr15,25448352,chr15,25203205,True,0.303999425,0.11028444812514526
cg01913259,0.8714018,0.8257828,0.4759729,0.3840717,0.7358899,0.8704986,0.864511,0.8504474,cg01913259,15,27189193,GABRA5;GABRA5,,chr15,27189193,chr15,26944046,True,0.7348220125,0.19477250043125724
cg01934296,0.9517569,0.948704,0.9188008,0.8404292,0.9533262,0.9633672,0.9255093,0.9523504,cg01934296,15,29429225,FAM189A1,,chr15,29429225,chr15,29137022,True,0.9317805,0.039862943002636285
